Who is Radek Kalod? | PERSON_WHO_IS
Can you please describe Eduard Meduna | PERSON_WHO_IS
Describe Arian | PERSON_WHO_IS
If you were to talk about Meijers, what would you say? | PERSON_WHO_IS
Put into words the background of Darini | PERSON_WHO_IS
How many chess grandmasters are from Moravska Ostrava? | PERSON_WHO_IS
What grandmasters are there? | PERSON_WHO_IS
How many grandmasters are there? | PERSON_WHO_IS
Who is Tamaz Giorgadze? | PERSON_WHO_IS
Can you please describe Miguel Llanes Hurtado | PERSON_WHO_IS
Describe Artur | PERSON_WHO_IS
If you were to talk about Andersson, what would you say? | PERSON_WHO_IS
Put into words the background of Vaisser | PERSON_WHO_IS
How many chess grandmasters are from Nuremberg? | PERSON_WHO_IS
What grandmasters are there? | PERSON_WHO_IS
How many grandmasters are there? | PERSON_WHO_IS
Who is Vladimir Romanenko? | PERSON_WHO_IS
Can you please describe Vasily Papin | PERSON_WHO_IS
Describe Andreas | PERSON_WHO_IS
If you were to talk about Tukhaev, what would you say? | PERSON_WHO_IS
Put into words the background of Stojanović | PERSON_WHO_IS
How many chess grandmasters are from Vienna? | PERSON_WHO_IS
What grandmasters are there? | PERSON_WHO_IS
How many grandmasters are there? | PERSON_WHO_IS
Who is Yaroslav Zherebukh? | PERSON_WHO_IS
Can you please describe Sergey Ionov | PERSON_WHO_IS
Describe Akshayraj | PERSON_WHO_IS
If you were to talk about Halkias, what would you say? | PERSON_WHO_IS
Put into words the background of Adhiban | PERSON_WHO_IS
How many chess grandmasters are from Gibraltar? | PERSON_WHO_IS
What grandmasters are there? | PERSON_WHO_IS
How many grandmasters are there? | PERSON_WHO_IS
Who is László Bárczay? | PERSON_WHO_IS
Can you please describe Joshua Daniel Ruiz Castillo | PERSON_WHO_IS
Describe Vasily B. | PERSON_WHO_IS
If you were to talk about Smirnov, what would you say? | PERSON_WHO_IS
Put into words the background of Pavlov | PERSON_WHO_IS
How many chess grandmasters are from Paris? | PERSON_WHO_IS
What grandmasters are there? | PERSON_WHO_IS
How many grandmasters are there? | PERSON_WHO_IS
Where is Robin Van Kampen from? | PERSON_WHERE_IS
Where was Aleksandr Poluljahov born? | PERSON_WHERE_IS
What is Tomáš Likavský's country of origin? | PERSON_WHERE_IS
What is Gevorg Harutjunyan's federation? | PERSON_WHERE_IS
Where is Yevgeniy Vladimirov from? | PERSON_WHERE_IS
Where was P. Iniyan born? | PERSON_WHERE_IS
What is Evgeny Tomashevsky's country of origin? | PERSON_WHERE_IS
What is Jiangchuan Ye's federation? | PERSON_WHERE_IS
Where is Aleksandar Matanović from? | PERSON_WHERE_IS
Where was Iuri Shkuro born? | PERSON_WHERE_IS
What is Miguel Najdorf's country of origin? | PERSON_WHERE_IS
What is Lembit Oll's federation? | PERSON_WHERE_IS
Where is Torbjørn Ringdal Hansen from? | PERSON_WHERE_IS
Where was Yasser Seirawan born? | PERSON_WHERE_IS
What is Kamil Mitoń's country of origin? | PERSON_WHERE_IS
What is Pentala Harikrishna's federation? | PERSON_WHERE_IS
Where is M. Amin Tabatabaei from? | PERSON_WHERE_IS
Where was Mesgen Amanov born? | PERSON_WHERE_IS
What is Manuel Rivas Pastor's country of origin? | PERSON_WHERE_IS
What is George-Gabriel Grigore's federation? | PERSON_WHERE_IS
Did Karen H. Grigoryan win the 2007 Rubinstein Memorial? | TOURNAMENT_WHO_IS
Has Ruslan Pogorelov won the Leningrad City Chess Championship? | TOURNAMENT_WHO_IS
Has Merab Gagunashvili won anything? | TOURNAMENT_WHO_IS
Has Petr Neuman won any tournament? | TOURNAMENT_WHO_IS
Who won the 2007 Rubinstein Memorial? | TOURNAMENT_WHO_IS
How many times has Valentina Gunina won the Rubinstein Memorial? | TOURNAMENT_WHO_IS
Was the 2007 Rubinstein Memorial won by Dimitri Komarov? | TOURNAMENT_WHO_IS
What tournaments has Andrew Soltis won? | TOURNAMENT_WHO_IS
Do you know if Yusnel Bacallao Alonso has won any tournaments? | TOURNAMENT_WHO_IS
What has Pavel Maletin won? | TOURNAMENT_WHO_IS
Did Róbert Ruck win the 1936 Leningrad City Chess Championship? | TOURNAMENT_WHO_IS
Has Vladimir Kosyrev won the Paris City Chess Championship? | TOURNAMENT_WHO_IS
Has Jonathan P. Levitt won anything? | TOURNAMENT_WHO_IS
Has Petr Hába won any tournament? | TOURNAMENT_WHO_IS
Who won the 1936 Leningrad City Chess Championship? | TOURNAMENT_WHO_IS
How many times has Yuri Vovk won the Leningrad City Chess Championship? | TOURNAMENT_WHO_IS
Was the 1936 Leningrad City Chess Championship won by Yuri L. Averbakh? | TOURNAMENT_WHO_IS
What tournaments has Srivatshav Rahul won? | TOURNAMENT_WHO_IS
Do you know if Włodzimierz Schmidt has won any tournaments? | TOURNAMENT_WHO_IS
What has Alexey Kim won? | TOURNAMENT_WHO_IS
